runnumber,live_rate
49658,1207658.160569
49659,1266191.181818
49660,1206875.322870
49661,1173950.324820
49662,1111193.585118
49664,1091154.377678
49736,1388031.027778
49737,1453805.453447
49742,1304440.705882
49743,1276232.293779
49749,1105178.421680
49751,1013865.578007
49752,963299.745955
49756,2020620.252991
49758,1857355.042869
49760,1480847.352006
49761,1291975.789157
49762,1371829.808108
49919,1478963.562085
49922,1406958.075314
49923,1324496.125532
49925,1140287.188279
49926,1190548.413572
49928,1087856.983923
49930,1104889.195783
49934,1090528.918005
49959,1645888.427492
49962,1386520.853376
49964,1360094.238318
49966,1321901.597210
49967,1233969.832069
49968,1238090.944722
49969,1153699.612653
49970,1061230.990492
50033,1821885.098684
50034,1429424.461005
50036,1351958.384828
50045,1121878.059019
50046,983227.507909
50047,998699.456790
50068,1564538.571560
50070,1461904.022191
50073,1372319.133536
50076,1064749.601266
50253,1138002.900722
50262,1171431.394949
50283,1057758.805371
50330,948420.006528
50343,921204.915690
50356,849985.732240
50376,871588.198723
50463,1338298.527458
50464,1219816.593689
50465,1076731.489632
50466,979376.760241
50467,904278.361001
50468,896418.765574
50470,875222.286285
50471,803232.030151
50483,833462.541534
50491,1396188.418811
50492,1312427.711377
50496,1177053.093681
50497,1078463.084835
50500,991572.357447
50501,941135.768160
50520,1239282.684039
50522,1142939.151198
50526,1159141.445988
50527,1075204.764613
50528,1075016.471607
50529,1061466.646581
50531,945676.176966
50535,982117.614286
50536,984413.809294
50546,1488678.574144
50548,1431167.048964
50549,1285862.713247
50550,1258132.178258
50551,1202818.461765
50554,1019773.925382
50561,1380000.654506
50563,1233690.063584
50564,1155745.308889
50569,1165965.692817
50599,1389601.884312
50600,1316236.950181
50601,1238660.171260
50602,1223861.448032
50603,1132322.323505
50605,1038333.197195
50606,1012099.712077
50607,955752.875000
50613,1868715.800127
50615,1461361.007587
50650,1234999.418301
50655,1117519.660245
50658,1070701.076923
50660,938917.364250
50661,896786.615625
50662,938174.249224
50663,930490.021434
50664,923042.406386
50666,900357.778061
50668,838684.221157
50670,719648.687783
50671,769235.092346
50673,729293.178767
50674,697280.127787
50676,658891.906593
50677,649026.563107
50853,1165994.392557
50857,1035887.344711
50874,1376498.947992
50875,1292376.775107
50885,1833962.874564
50886,1720717.664109
50887,1586263.296680
50889,1416631.421384
50897,1294547.600000
50962,1212411.373404
50965,1241112.658098
50969,1189323.990686
50981,1097262.103008
50987,1003018.891856
50992,989049.665877
50996,928633.913120
51012,854896.904728
51015,863116.292235
51093,1807525.631746
51095,497671.163399
51152,1324457.482871
51154,1253740.252149
51160,992558.800621
51161,878463.660932
51162,765822.380259
51163,685544.472973
51166,653693.124700
51167,681826.780692
51171,1761715.282203
51172,1627453.678679
51176,1297218.578327
51177,1199318.475884
51179,948625.727869
51183,803006.543103
51188,906369.794802
51200,1381442.100310
51201,1194612.758078
51202,1118249.796610
51208,982350.257610
51209,925518.240785
51210,883715.895363
51211,850314.358591
51212,810621.249611
51213,740017.915367
51214,751080.609195
51215,750611.844185
51220,1779779.541276
51221,1650375.166815
51222,1335371.064830
51225,1044462.264352
51229,830708.431853
51230,741670.591710
51234,1728729.761746
51236,1137947.334465
51237,1060941.026233
