34525 43.19 2.54 52.58 2.61
34526 39.06 2.34 43.07 2.49
34527 49.36 2.04 51.82 2.23
34528 41.67 2.33 50.46 2.59
34529 43.47 2.29 53.39 2.63
34530 -999.0 -999.0 -999.0 -999.0
34531 40.57 2.24 45.05 2.32
34532 43.38 1.93 57.69 3.02
34533 -999.0 -999.0 -999.0 -999.0
34534 -999.0 -999.0 -999.0 -999.0
34535 45.02 2.98 57.23 3.19
34536 48.3 2.51 47.74 5.05
34547 50.31 2.06 51.84 2.31
34548 48.62 2.31 60.24 2.65
34549 49.03 2.39 50.9 2.29
34550 56.77 2.46 52.5 2.75
34551 54.41 2.65 57.2 3.14
34552 -0.18 0.54 52.06 2.69
34553 52.84 2.64 58.67 2.79
34554 49.49 2.33 51.06 2.75
34555 50.48 2.32 50.16 2.63
34558 53.1 3.04 56.14 2.96
34566 58.38 2.44 59.05 2.45
34567 58.24 2.67 59.82 3.14
34568 58.22 2.55 58.07 2.58
34569 58.46 3.05 63.97 3.29
34570 55.16 2.52 60.66 2.45
34571 56.44 2.7 55.93 2.51
34572 53.38 2.41 56.41 2.63
34573 51.78 2.52 56.62 2.75
34574 54.2 2.35 55.13 2.42
34575 52.32 2.65 56.33 2.77
34576 59.76 3.43 52.46 2.97
34577 50.36 5.71 53.22 4.88
34578 49.19 2.15 55.02 2.18
34584 54.48 2.55 51.67 2.94
34585 50.69 2.21 56.88 2.71
34586 52.59 2.38 56.35 2.38
34587 53.19 2.52 55.19 2.46
34588 -999.0 -999.0 -999.0 -999.0
34589 57.64 2.82 56.53 3.03
34590 59.95 2.68 56.61 2.62
34591 56.98 2.0 60.02 2.17
34592 49.18 2.26 57.38 2.66
34593 52.74 2.25 53.2 2.43
34594 51.69 2.59 54.8 2.75
34595 43.14 2.38 53.1 3.32
34596 46.8 2.29 53.18 2.78
34597 46.39 2.31 50.9 2.37
34601 -999.0 -999.0 -999.0 -999.0
34603 45.98 2.73 41.65 2.63
34606 -999.0 -999.0 -999.0 -999.0
34607 48.19 2.46 50.81 2.85
34608 56.57 2.37 51.5 2.28
34609 50.51 2.39 49.74 2.39
34610 48.6 2.46 46.1 2.54
34611 49.33 3.57 47.52 2.62
34612 48.43 2.53 47.97 2.68
34613 49.43 2.81 48.61 2.77
34614 52.77 2.14 54.34 1.97
34644 56.18 2.95 59.13 2.66
34646 54.56 2.39 54.64 2.26
34647 55.42 2.52 56.36 2.34
34648 45.04 2.02 49.98 2.14
34649 48.51 2.72 53.61 2.55
34650 -999.0 -999.0 -999.0 -999.0
34651 49.76 2.37 54.74 2.79
34652 54.51 2.49 51.54 2.35
34653 -999.0 -999.0 -999.0 -999.0
34654 51.77 2.76 58.93 2.94
34655 56.11 2.47 55.57 2.61
34660 52.84 2.82 55.36 2.96
34662 56.14 2.58 60.28 2.66
34663 57.67 2.89 60.21 2.65
34664 58.29 2.64 62.17 2.6
34665 57.89 184.31 54.85 2.33
34667 55.84 2.26 59.67 2.25
34668 59.29 2.39 57.35 2.18
34681 55.11 2.36 51.71 2.42
34682 -999.0 -999.0 -999.0 -999.0
34683 -999.0 -999.0 -999.0 -999.0
34684 -999.0 -999.0 -999.0 -999.0
34685 59.58 2.67 50.62 2.19
34687 57.87 2.52 52.2 2.63
34688 56.73 2.27 54.54 2.41
34689 54.9 2.29 51.34 2.34
34690 58.24 2.95 55.24 2.97
34691 54.38 2.48 51.6 2.6
34692 55.46 3.02 58.57 2.81
34693 55.21 2.4 55.15 2.36
34694 59.02 2.97 57.62 2.35
34695 58.18 2.8 60.94 2.12
34696 57.86 2.09 53.66 2.27
34700 54.94 2.6 58.06 2.52
34701 59.52 3.43 57.32 3.01
34702 52.19 2.36 57.6 2.94
34703 54.87 2.4 58.59 2.71
34706 -999.0 -999.0 -999.0 -999.0
34708 53.18 2.69 64.31 3.12
34712 54.68 2.47 53.29 2.26
34713 55.33 2.47 60.89 2.63
34714 52.81 2.75 52.89 2.89
34715 52.0 2.28 57.0 2.89
34716 54.43 2.27 52.26 2.45
34717 55.28 2.59 56.18 2.86
34718 58.57 3.08 59.09 3.02
34719 58.95 3.32 57.43 3.04
34720 59.23 3.2 57.88 2.57
34721 58.98 2.69 56.81 2.54
34722 55.67 2.47 58.67 2.45
34723 57.65 3.24 56.64 2.53
34724 -999.0 -999.0 -999.0 -999.0
34725 57.63 2.44 59.86 2.43
34726 54.42 3.08 55.61 2.99
34727 52.84 2.26 54.91 2.3
34728 54.6 2.3 59.43 2.45
34729 57.32 2.82 59.47 2.7
34732 57.9 2.68 57.96 2.41
34733 57.71 2.38 56.73 2.26
34734 56.28 2.24 55.41 2.21
34736 56.67 2.45 54.63 2.18
34737 57.13 2.7 53.93 2.58
34738 56.45 2.96 56.26 2.53
34742 53.29 2.46 57.8 2.24
34743 57.17 2.85 55.54 9.15
34744 51.08 2.72 -999.0 -999.0
34745 53.80 5.65 59.84 5.48
34747 56.0 2.53 54.58 11.84
34748 60.75 3.25 55.4 4.1
34750 59.82 3.11 54.17 2.83
34751 54.61 2.83 58.88 2.84
34755 61.17 3.11 57.51 2.74
34756 55.36 2.49 56.65 2.54
34757 54.91 2.43 57.51 2.48
34758 50.66 2.34 56.83 2.35
34760 51.93 2.27 59.55 2.31
34761 52.77 2.64 56.66 2.63
34762 55.91 2.84 58.03 2.77
34763 50.33 2.78 55.29 2.62
34764 54.65 2.52 55.97 2.47
34765 -999.0 -999.0 -999.0 -999.0
34766 -999.0 -999.0 -999.0 -999.0
34767 56.4 2.72 55.31 2.78
34768 54.29 2.65 51.31 3.54
34769 50.0 2.16 53.57 2.27
34770 49.81 2.34 57.08 2.49
34771 52.21 2.72 56.55 3.27
34774 -999.0 -999.0 -999.0 -999.0
34776 -999.0 -999.0 -999.0 -999.0
34781 52.28 2.67 50.48 2.81
34782 54.43 2.53 54.02 2.55
34783 -999.0 -999.0 -999.0 -999.0
34784 -999.0 -999.0 -999.0 -999.0
34785 49.11 2.34 52.14 2.46
34786 52.2 2.8 58.41 3.17
34787 51.19 2.43 51.64 2.3
34788 42.67 2.32 44.95 2.09
34790 52.41 2.27 54.55 2.24
34794 51.55 2.29 51.34 2.23
34796 50.97 2.76 51.38 2.4
34797 48.76 2.49 50.14 2.55
34798 50.44 2.75 53.93 2.62
34799 50.85 2.39 55.27 2.4
34800 54.73 2.92 55.1 2.92
34803 49.68 2.39 49.5 2.28
34804 50.28 2.39 50.79 2.37
34805 49.37 2.1 52.32 2.34
34806 49.81 2.38 48.97 2.23
34807 53.2 3.49 46.34 3.03
34809 47.76 2.47 47.73 2.47
34810 50.22 2.78 48.26 2.7
34814 -999.0 -999.0 -999.0 -999.0
34815 54.6 2.3 50.42 2.27
34818 48.34 2.27 50.69 2.31
34826 53.6 2.57 55.26 3.06
34829 58.11 2.53 54.04 2.26
34830 54.55 2.29 58.35 2.92
34831 -999.0 -999.0 -999.0 -999.0
34832 -999.0 -999.0 -999.0 -999.0
34833 -999.0 -999.0 -999.0 -999.0
34834 -999.0 -999.0 -999.0 -999.0
34836 -999.0 -999.0 -999.0 -999.0
34837 55.12 2.91 57.24 2.35
34838 54.44 2.37 59.14 2.38
34839 -999.0 -999.0 -999.0 -999.0
34840 53.67 2.87 55.52 2.79
34841 54.19 2.43 57.99 2.51
34842 53.19 2.43 55.37 2.51
34843 -999.0 -999.0 -999.0 -999.0
34844 53.17 2.4 53.96 2.62
34845 55.2 2.41 51.67 2.44
34846 52.81 2.34 53.91 2.42
34847 -999.0 -999.0 -999.0 -999.0
34848 -999.0 -999.0 -999.0 -999.0
34849 49.95 3.25 56.14 3.37
34850 -999.0 -999.0 -999.0 -999.0
34851 -999.0 -999.0 -999.0 -999.0
34852 51.77 2.32 52.55 2.17
34853 53.15 2.11 51.44 1.96
34859 53.5 2.5 52.84 2.19
34860 54.84 2.62 53.35 2.41
34862 52.08 2.19 53.74 2.21
34863 51.13 2.29 52.99 2.27
34866 52.12 2.74 50.69 2.46
34867 -999.0 -999.0 -999.0 -999.0
34868 52.92 2.22 53.32 2.21
34869 -999.0 -999.0 -999.0 -999.0
34870 49.7 2.45 53.4 2.63
34872 51.86 2.15 50.58 2.18
34873 53.47 2.2 53.72 2.2
34874 50.35 2.4 53.26 2.33
34875 52.28 2.76 51.05 2.36
34877 52.76 2.07 52.8 2.2
34878 52.61 2.27 53.32 2.3
34880 52.56 2.24 50.18 2.25
34881 50.16 2.62 50.12 2.5
34884 54.34 2.42 50.23 2.22
34887 51.5 2.45 51.12 2.13
34888 52.54 2.23 54.54 3.06
34896 49.61 2.14 54.86 2.49
34897 -999.0 -999.0 -999.0 -999.0
34898 54.61 2.34 53.83 4.52
34899 50.14 2.4 54.77 3.18
34902 53.03 2.61 54.01 3.75
34905 47.72 2.25 45.18 2.13
34906 44.04 1.99 51.31 3.21
34907 52.27 2.32 60.85 3.62
34908 50.41 2.28 53.53 2.17
34909 50.19 2.32 54.09 2.18
34910 50.43 2.22 54.32 2.38
34911 52.76 1.73 54.73 2.37
34912 58.28 2.68 59.03 2.9
34913 51.83 2.61 57.35 2.72
34915 54.42 2.86 54.02 3.01
34916 -999.0 -999.0 -999.0 -999.0
34917 57.62 2.91 58.49 3.1
34918 51.99 2.21 37.24 2.14
34925 51.23 2.08 26.01 4.57
34929 49.03 2.49 16.9 2.06
34930 -999.0 -999.0 -999.0 -999.0
34931 52.75 2.57 55.21 3.69
34933 51.43 2.2 55.84 2.66
34934 51.69 2.29 52.08 2.61
34935 -999.0 -999.0 -999.0 -999.0
34939 47.11 2.48 48.74 3.24
34946 -999.0 -999.0 -999.0 -999.0
34947 46.61 2.22 50.7 2.53
34948 49.48 2.37 48.78 2.24
34949 52.57 2.36 52.58 2.55
34950 48.74 2.53 48.85 2.55
34951 49.98 2.44 53.41 2.57
34953 49.73 2.33 50.52 2.42
34954 49.5 2.52 47.53 3.22
34955 50.89 2.19 52.6 2.49
34956 49.44 2.27 49.85 2.46
34958 51.67 2.29 51.11 2.38
34959 53.92 2.48 52.73 3.26
34960 -999.0 -999.0 -999.0 -999.0
34961 55.2 2.79 52.19 2.86
34968 -999.0 -999.0 -999.0 -999.0
34969 49.54 2.27 54.67 2.53
34970 49.62 2.11 48.87 2.48
34971 48.44 2.18 50.0 2.29
34972 48.78 2.34 48.58 2.46
34973 51.07 2.19 50.21 2.37
34974 53.17 2.61 52.82 2.83
34979 -999.0 -999.0 -999.0 -999.0
34981 50.71 2.07 47.36 2.33
34982 -999.0 -999.0 -999.0 -999.0
34983 48.74 2.21 48.74 2.4
34984 48.24 2.48 49.19 3.03
34986 -999.0 -999.0 -999.0 -999.0
34987 48.66 2.16 49.11 2.06
34992 -999.0 -999.0 -999.0 -999.0
34993 50.11 3.2 54.0 3.13
34995 50.87 2.09 50.03 2.17
34996 47.97 2.46 51.53 2.98
34997 46.68 2.28 52.71 3.2
34999 48.57 2.31 51.21 2.9
35002 52.34 1.63 55.39 1.89
35003 51.89 1.07 51.04 1.22
35004 -999.0 -999.0 -999.0 -999.0
35005 49.56 2.05 48.78 2.46
35006 51.93 2.15 48.83 2.22
35007 50.06 2.11 51.38 2.07
35008 52.48 2.48 51.98 2.79
35009 52.95 2.11 51.71 2.24
35010 48.88 2.07 50.28 2.01
35011 51.58 2.04 52.79 2.08
35012 49.91 2.43 50.22 3.12
35015 49.6 2.15 51.13 2.35
35016 47.87 2.1 54.78 2.38
35017 40.42 2.0 42.27 2.21
35018 49.88 2.63 44.85 2.95
35019 50.3 2.85 55.51 3.6
35024 50.54 2.63 52.78 8.79
35026 54.72 2.51 57.77 3.27
35027 52.49 2.47 54.22 3.16
35029 54.45 2.51 51.92 2.47
35030 51.98 2.09 55.8 2.34
35031 52.33 1.98 54.28 2.4
35032 51.38 2.18 51.34 2.43
35035 47.42 2.53 54.17 2.89
35036 49.24 2.01 52.78 2.24
35037 52.08 2.32 54.1 3.51
35038 54.26 2.44 55.33 3.25
35039 53.76 2.08 52.25 2.38
35040 49.7 1.93 51.46 2.42
35041 49.54 1.99 48.79 2.26
35042 49.74 1.94 49.36 2.23
35043 50.17 2.01 49.06 2.21
35044 51.78 2.03 49.29 2.18
35046 51.07 1.99 52.58 2.26
35047 53.83 2.34 52.07 2.1
35048 46.81 2.33 26.4 2.3
35050 50.41 2.4 43.18 2.15
35052 55.96 4.34 61.99 5.42
35053 46.6 2.49 51.7 2.93
35055 49.07 1.96 56.5 3.31
35056 51.8 2.27 49.64 3.29
35062 50.45 2.01 52.38 3.32
35063 49.91 1.93 53.68 3.34
35064 47.32 1.94 51.25 3.25
35065 42.96 1.77 47.99 2.96
35066 46.42 1.98 49.93 3.35
35067 46.94 2.26 45.77 3.32
35068 44.67 2.47 55.32 4.13
35071 49.19 2.06 50.44 3.27
35072 47.05 1.98 48.46 3.2
35073 45.73 2.28 55.02 3.15
35075 -999.0 -999.0 -999.0 -999.0
35078 45.52 2.09 55.86 3.53
35079 46.69 2.04 -999.0 -999.0
35080 45.99 1.93 47.46 3.22
35081 46.35 2.37 53.31 3.7
35083 46.3 1.95 48.67 3.37
35084 48.18 2.42 51.82 3.84
35085 49.13 2.29 47.44 3.77
35086 44.67 2.11 44.3 3.53
35089 60.08 5.16 52.36 4.81
35090 44.7 1.83 49.47 3.33
35091 46.75 1.94 47.2 3.13
35092 47.15 2.07 51.68 3.48
35093 46.15 194.22 45.96 3.52
35094 48.59 2.47 44.81 3.46
35095 45.61 1.93 47.28 3.47
35096 47.5 1.97 49.75 3.29
35097 46.92 1.86 49.5 3.17
35098 46.99 2.01 50.32 3.32
35099 48.1 2.04 47.32 3.37
35100 47.26 1.76 49.03 2.75
35101 48.43 1.99 48.94 3.26
35102 46.79 1.92 50.21 3.3
35104 48.5 1.96 50.05 3.22
35105 48.81 2.24 50.23 3.54
35115 47.68 2.52 45.04 3.43
35116 46.94 1.92 49.57 3.22
35117 44.8 2.14 46.53 3.33
35118 47.1 2.3 46.39 3.8
35119 47.13 2.06 52.1 3.46
35120 45.25 1.95 49.87 3.28
35121 48.15 2.09 50.7 3.3
35122 43.72 2.06 48.51 3.22
35123 44.81 1.98 46.53 3.29
