RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
52327 0 0 0 0 0.0000000 0.0000000
52343 0 0 0 0 0.0048242 0.0046682
52346 0 0 0 0 0.0000000 0.0000000
52347 0 0 0 0 0.0000000 0.0000000
52348 0 0 0 0 0.0000000 0.0000000
52349 0 0 0 0 0.0000000 0.0000000
52357 0 0 0 0 0.0037512 0.0036824
52359 0 0 0 0 0.0000000 0.0000000
52360 0 0 0 0 0.0272353 0.0267658
52361 0 0 0 0 0.0351839 0.0346024
52367 0 0 0 0 0.0000000 0.0000000
52369 0 0 0 0 0.0000000 0.0000000
52393 0 0 0 0 0.0140944 0.0137534
52394 0 0 0 0 0.0288208 0.0281608
52414 0 0 0 0 0.0039129 0.0038293
52424 0 0 0 0 0.0000000 0.0000000
52432 0 0 0 0 0.0000000 0.0000000
52444 0 0 0 0 0.0075451 0.0046010
52447 0 0 0 0 0.0031894 0.0031332
52449 0 0 0 0 0.0055034 0.0054107
52462 0 0 0 0 0.0213240 0.0209393
52463 0 0 0 0 0.0404065 0.0397065
52472 0 0 0 0 0.0040836 0.0040121
52482 0 0 0 0 0.0201568 0.0198016
52495 0 0 0 0 0.0072313 0.0071548
52518 0 0 0 0 0 0
52519 0 0 0 0 0 0
52520 0 0 0 0 0.0091429 0.0089360
52521 0 0 0 0 0.0299597 0.0293155
52522 0 0 0 0 0.0284714 0.0278885
52538 0 0 0 0 0.0033852 0.0033223
52539 0 0 0 0 0.0336740 0.0330707
52540 0 0 0 0 0.0293844 0.0288838
52558 0 0 0 0 0 0
52575 0 0 0 0 0.0434663 0.0425591
52576 0 0 0 0 0.0223680 0.0219447
52579 0 0 0 0 0.0261090 0.0256832
52580 0 0 0 0 0.0076434 0.0075223
52584 0 0 0 0 0 0
52585 0 0 0 0 0 0
52592 0 0 0 0 0 0
52593 0 0 0 0 0.0320556 0.0314003
52594 0 0 0 0 0.0207437 0.0203543
52595 0 0 0 0 0.0000000 0.0000000
52596 0 0 0 0 0.0074282 0.0072950
52611 0 0 0 0 0.0194380 0.0189473
52614 0 0 0 0 0.0188497 0.0184397
52615 0 0 0 0 0.0080860 0.0079141
52617 0 0 0 0 0.0227245 0.0222825
52623 0 0 0 0 0 0
52624 0 0 0 0 0 0
52625 0 0 0 0 0 0
52626 0 0 0 0 0 0
52638 0 0 0 0 0.0246272 0.0240389
52649 0 0 0 0 0 0
52651 0 0 0 0 0 0
52653 0 0 0 0 0.0110625 0.0108464
52660 0 0 0 0 0.0065205 0.0064112
52661 0 0 0 0 0.0350540 0.0344851
52682 0 0 0 0 0.0033929 0.0033384
52690 0 0 0 0 0.0144911 0.0142927
52692 0 0 0 0 0.0136316 0.0134541
52704 0 0 0 0 0.0054199 0.0052990
52718 0 0 0 0 0 0
52721 0 0 0 0 0.0474629 0.0464327
52755 0 0 0 0 0.0278995 0.0274283
52811 0 0 0 0 0.0046017 0.0045041
52815 0 0 0 0 0.0397191 0.0389937
52846 0 0 0 0 0.0052618 0.0051254
52887 0 0 0 0 0 0
52888 0 0 0 0 0 0
53046 0 0 0 0 0 0
53049 0 0 0 0 0.0081602 0.0079685
53287 0 0 0 0 0.0051967 0.0050683
53293 0 0 0 0 0.0388966 0.0382007
53312 0 0 0 0 0.0173150 0.0170814
53370 0 0 0 0 0.0369161 0.0362885
53376 0 0 0 0 0.0183219 0.0180423
53407 0 0 0 0 0.0331401 0.0325514
53452 0 0 0 0 0.0191859 0.0188210
53468 0 0 0 0 0.0319886 0.0313966
53742 0 0 0 0 0.0000000 0.0000000
53744 0 0 0 0 0.0000000 0.0000000
53753 0 0 0 0 0.0000000 0.0000000
53754 0 0 0 0 0.0000000 0.0000000
53761 0 0 0 0 0.0132133 0.0129773
53768 0 0 0 0 0 0
53769 0 0 0 0 0.0287092 0.0279140
53772 0 0 0 0 0.0226177 0.0221253
53780 0 0 0 0 0 0
53782 0 0 0 0 0.0234891 0.0229039
53793 0 0 0 0 0.0048210 0.0047319
53794 0 0 0 0 0.0165570 0.0162571
53828 0 0 0 0 0.0330237 0.0320894
53830 0 0 0 0 0.0242117 0.0236340
53833 0 0 0 0 0.0026150 0.0025585
53834 0 0 0 0 0.0237119 0.0232186
53836 0 0 0 0 0.0107534 0.0105379
53852 0 0 0 0 0 0
53856 0 0 0 0 0.0067035 0.0065467
53860 0 0 0 0 0.0240789 0.0235635
53861 0 0 0 0 0.0134289 0.0131525
53862 0 0 0 0 0.0220175 0.0215835
RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC (units pb^-1)

Totals: 16.64289 15.53728 16.55008 15.44689 18.57771 17.43768 pb^-1
(int) 0
