RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
48731 0.0605249 0.0537523 0.0605249 0.0537523 0.0605249 0.0537523
48732 0.0100905 0.0090943 0.0100905 0.0090943 0.0100905 0.0090943
48734 0.0449442 0.0408490 0.0449442 0.0408490 0.0449442 0.0408490
48742 0.0645453 0.0600625 0.0645453 0.0600625 0.0645453 0.0600625
48743 0.0140091 0.0130993 0.0140091 0.0130993 0.0140091 0.0130993
48745 0.0067697 0.0063444 0.0067697 0.0063444 0.0067697 0.0063444
48746 0.0049171 0.0046256 0.0049171 0.0046256 0.0049171 0.0046256
48801 0.0505196 0.0462236 0.0505196 0.0462236 0.0505196 0.0462236
48803 0.0205649 0.0190314 0.0205649 0.0190314 0.0205649 0.0190314
48805 0.0295256 0.0274724 0.0295256 0.0274724 0.0295256 0.0274724
48806 0.0066757 0.0062341 0.0066757 0.0062341 0.0066757 0.0062341
48807 0.0647603 0.0607612 0.0647603 0.0607612 0.0647603 0.0607612
48810 0.0094092 0.0088892 0.0094092 0.0088892 0.0094092 0.0088892
48813 0.0230075 0.0218798 0.0230075 0.0218798 0.0230075 0.0218798
48824 0.0244446 0.0217705 0.0244446 0.0217705 0.0244446 0.0217705
48826 0.0208984 0.0198373 0.0208984 0.0198373 0.0208984 0.0198373
48828 0.0593316 0.0550460 0.0593316 0.0550460 0.0593316 0.0550460
48829 0.0117349 0.0109581 0.0117349 0.0109581 0.0117349 0.0109581
48832 0.0525131 0.0493764 0.0525131 0.0493764 0.0525131 0.0493764
48836 0.0455207 0.0431261 0.0455207 0.0431261 0.0455207 0.0431261
48838 0.0208681 0.0198431 0.0208681 0.0198431 0.0208681 0.0198431
48839 0.0360777 0.0343916 0.0360777 0.0343916 0.0360777 0.0343916
48863 0.0142921 0.0129824 0.0142921 0.0129824 0.0142921 0.0129824
48864 0.0447326 0.0409239 0.0447326 0.0409239 0.0447326 0.0409239
48865 0.0290504 0.0268029 0.0290504 0.0268029 0.0290504 0.0268029
48867 0.0131989 0.0122540 0.0131989 0.0122540 0.0131989 0.0122540
48883 0.0153493 0.0136501 0.0153493 0.0136501 0.0153493 0.0136501
48885 0.0097031 0.0087151 0.0097031 0.0087151 0.0097031 0.0087151
48891 0.0458248 0.0423855 0.0458248 0.0423855 0.0458248 0.0423855
48892 0.0153961 0.0143047 0.0153961 0.0143047 0.0153961 0.0143047
48893 0.0122556 0.0114081 0.0122556 0.0114081 0.0122556 0.0114081
48894 0.0083654 0.0077989 0.0083654 0.0077989 0.0083654 0.0077989
48895 0.0264142 0.0246771 0.0264142 0.0246771 0.0264142 0.0246771
48897 0.0247880 0.0232530 0.0247880 0.0232530 0.0247880 0.0232530
48899 0.0302294 0.0284674 0.0302294 0.0284674 0.0302294 0.0284674
48900 0.0107089 0.0101073 0.0107089 0.0101073 0.0107089 0.0101073
48901 0.0060175 0.0056853 0.0060175 0.0056853 0.0060175 0.0056853
48902 0.0378255 0.0358176 0.0378255 0.0358176 0.0378255 0.0358176
48903 0.0278868 0.0263977 0.0278868 0.0263977 0.0278868 0.0263977
48935 0.0252206 0.0223684 0.0252206 0.0223684 0.0252206 0.0223684
48938 0.0210033 0.0191063 0.0210033 0.0191063 0.0210033 0.0191063
48940 0.0159331 0.0146101 0.0159331 0.0146101 0.0159331 0.0146101
48943 0.0748551 0.0693926 0.0748551 0.0693926 0.0748551 0.0693926
48946 0.0405909 0.0379676 0.0405909 0.0379676 0.0405909 0.0379676
48949 0.0424574 0.0400709 0.0424574 0.0400709 0.0424574 0.0400709
48951 0.0174061 0.0164867 0.0174061 0.0164867 0.0174061 0.0164867
48971 0.0296809 0.0263121 0.0296809 0.0263121 0.0296809 0.0263121
48982 0.0248482 0.0227089 0.0248482 0.0227089 0.0248482 0.0227089
