sector_serial,sector,ib,ib_channel,iphi,ieta,bias,offset
2,25,0,2,206,48,69.33,330
2,25,0,3,206,49,69.33,330
2,25,0,4,205,48,69.33,330
2,25,0,5,205,49,69.33,330
2,25,0,6,204,48,69.33,330
2,25,0,7,204,49,69.33,330
2,25,0,8,203,48,69.33,330
2,25,0,9,203,49,69.33,330
2,25,0,10,202,48,69.33,330
2,25,0,11,202,49,69.33,330
2,25,0,12,201,48,69.33,330
2,25,0,13,201,49,69.33,330
2,25,0,14,200,48,69.33,330
2,25,0,15,200,49,69.33,330
2,25,0,16,207,50,69.33,330
2,25,0,17,207,51,69.33,330
2,25,0,18,206,50,69.33,330
2,25,0,19,206,51,69.33,330
2,25,0,20,205,50,69.33,330
2,25,0,21,205,51,69.33,330
2,25,0,22,204,50,69.33,330
2,25,0,23,204,51,69.33,330
2,25,0,24,203,50,69.33,330
2,25,0,25,203,51,69.33,330
2,25,0,26,202,50,69.33,330
2,25,0,27,202,51,69.33,330
2,25,0,28,201,50,69.33,330
2,25,0,29,201,51,69.33,330
2,25,0,30,200,50,69.33,330
2,25,0,31,200,51,69.33,330
2,25,0,32,207,52,69.33,330
2,25,0,33,207,53,69.33,330
2,25,0,34,206,52,69.33,330
2,25,0,35,206,53,69.33,330
2,25,0,36,205,52,69.33,330
2,25,0,37,205,53,69.33,330
2,25,0,38,204,52,69.33,330
2,25,0,39,204,53,69.33,330
2,25,0,40,203,52,69.33,330
2,25,0,41,203,53,69.33,330
2,25,0,42,202,52,69.33,330
2,25,0,43,202,53,69.33,330
2,25,0,44,201,52,69.33,330
2,25,0,45,201,53,69.33,330
2,25,0,46,200,52,69.33,330
2,25,0,47,200,53,69.33,330
2,25,0,48,207,54,69.33,330
2,25,0,49,207,55,69.33,330
2,25,0,50,206,54,69.33,330
2,25,0,51,206,55,69.33,330
2,25,0,52,205,54,69.33,330
2,25,0,53,205,55,69.33,330
2,25,0,54,204,54,69.33,330
2,25,0,55,204,55,69.33,330
2,25,0,56,203,54,69.33,330
2,25,0,57,203,55,69.33,330
2,25,0,58,202,54,69.33,330
2,25,0,59,202,55,69.33,330
2,25,0,60,201,54,69.33,330
2,25,0,61,201,55,69.33,330
2,25,0,62,200,54,69.33,330
2,25,0,63,200,55,69.33,330
2,25,1,0,207,56,69.33,330
2,25,1,1,207,57,69.33,330
2,25,1,2,206,56,69.33,330
2,25,1,3,206,57,69.33,330
2,25,1,4,205,56,69.33,330
2,25,1,5,205,57,69.33,330
2,25,1,6,204,56,69.33,330
2,25,1,7,204,57,69.33,330
2,25,1,8,203,56,69.33,330
2,25,1,9,203,57,69.33,330
2,25,1,10,202,56,69.33,330
2,25,1,11,202,57,69.33,330
2,25,1,12,201,56,69.33,330
2,25,1,13,201,57,69.33,330
2,25,1,14,200,56,69.33,330
2,25,1,15,200,57,69.33,330
2,25,1,16,207,58,69.33,330
2,25,1,17,207,59,69.33,330
2,25,1,18,206,58,69.33,330
2,25,1,19,206,59,69.33,330
2,25,1,20,205,58,69.33,330
2,25,1,21,205,59,69.33,330
2,25,1,22,204,58,69.33,330
2,25,1,23,204,59,69.33,330
2,25,1,24,203,58,69.33,330
2,25,1,25,203,59,69.33,330
2,25,1,26,202,58,69.33,330
2,25,1,27,202,59,69.33,330
2,25,1,28,201,58,69.33,330
2,25,1,29,201,59,69.33,330
2,25,1,30,200,58,69.33,330
2,25,1,31,200,59,69.33,330
2,25,1,32,207,60,69.33,330
2,25,1,33,207,61,69.33,330
2,25,1,34,206,60,69.33,330
2,25,1,35,206,61,69.33,330
2,25,1,36,205,60,69.33,330
2,25,1,37,205,61,69.33,330
2,25,1,38,204,60,69.33,330
2,25,1,39,204,61,69.33,330
2,25,1,40,203,60,69.33,330
2,25,1,41,203,61,69.33,330
2,25,1,42,202,60,69.33,330
2,25,1,43,202,61,69.33,330
2,25,1,44,201,60,69.33,330
2,25,1,45,201,61,69.33,330
2,25,1,46,200,60,69.33,330
2,25,1,47,200,61,69.33,330
2,25,1,48,207,62,69.33,330
2,25,1,49,207,63,69.33,330
2,25,1,50,206,62,69.33,330
2,25,1,51,206,63,69.33,330
2,25,1,52,205,62,69.33,330
2,25,1,53,205,63,69.33,330
2,25,1,54,204,62,69.33,330
2,25,1,55,204,63,69.33,330
2,25,1,56,203,62,69.33,330
2,25,1,57,203,63,69.33,330
2,25,1,58,202,62,69.33,330
2,25,1,59,202,63,69.33,330
2,25,1,60,201,62,69.33,330
2,25,1,61,201,63,69.33,330
2,25,1,62,200,62,69.33,330
2,25,1,63,200,63,69.33,330
2,25,2,0,207,64,69.33,330
2,25,2,1,207,65,69.33,330
2,25,2,2,206,64,69.33,330
2,25,2,3,206,65,69.33,330
2,25,2,4,205,64,69.33,330
2,25,2,5,205,65,69.33,330
2,25,2,6,204,64,69.33,330
2,25,2,7,204,65,69.33,330
2,25,2,8,203,64,69.33,330
2,25,2,9,203,65,69.33,330
2,25,2,10,202,64,69.33,330
2,25,2,11,202,65,69.33,330
2,25,2,12,201,64,69.33,330
2,25,2,13,201,65,69.33,330
2,25,2,14,200,64,69.33,330
2,25,2,15,200,65,69.33,330
2,25,2,16,207,66,69.33,330
2,25,2,17,207,67,69.33,330
2,25,2,18,206,66,69.33,330
2,25,2,19,206,67,69.33,330
2,25,2,20,205,66,69.33,330
2,25,2,21,205,67,69.33,330
2,25,2,22,204,66,69.33,330
2,25,2,23,204,67,69.33,330
2,25,2,24,203,66,69.33,330
2,25,2,25,203,67,69.33,330
2,25,2,26,202,66,69.33,330
2,25,2,27,202,67,69.33,330
2,25,2,28,201,66,69.33,330
2,25,2,29,201,67,69.33,330
2,25,2,30,200,66,69.33,330
2,25,2,31,200,67,69.33,330
