run,width,offset
63076,27,1100
63077,28,1100
63078,29,1100
63079,30,1100
63080,31,1100
63081,32,1100
63082,33,1100
63083,34,1100
63084,35,1100
63085,36,1100
63086,37,1100
63087,38,1100
63088,39,1100
63089,40,1100
63090,24,1200
63091,25,1200
63092,26,1200
63093,27,1200
63094,28,1200
63095,29,1200
63096,30,1200
63097,31,1200
63098,32,1200
63099,33,1200
63100,34,1200
63101,35,1200
63102,36,1200
63103,37,1200
63104,38,1200
63105,39,1200
63106,40,1200
63107,24,1300
63108,25,1300
63109,26,1300
63110,27,1300
63111,28,1300
63112,29,1300
63113,30,1300
63114,31,1300
63115,32,1300
63116,33,1300
63117,34,1300
63118,35,1300
63119,36,1300
63120,37,1300
63121,38,1300
63122,39,1300
63123,40,1300
63124,24,1400
63125,25,1400
63126,26,1400
63127,27,1400
63128,28,1400
63129,29,1400
63130,30,1400
63131,31,1400
63132,32,1400
63133,33,1400
63135,34,1400
63136,35,1400
63137,36,1400
63138,37,1400
63139,38,1400
63140,39,1400
63141,40,1400
63142,24,1500
63143,25,1500
63144,26,1500
63145,27,1500
63146,28,1500
63147,29,1500
63148,30,1500
63149,31,1500
63150,32,1500
63151,33,1500
63152,34,1500
63153,35,1500
63154,36,1500
63155,37,1500
63156,38,1500
63157,39,1500
63158,40,1500
63159,24,1600
63160,25,1600
63161,26,1600
63162,27,1600
63163,28,1600
63164,29,1600
63165,30,1600
63166,31,1600
63167,32,1600
63168,33,1600
63169,34,1600
63170,35,1600
63171,36,1600
63172,37,1600
63173,38,1600
63174,39,1600
63175,40,1600
63176,24,1700
63177,25,1700
63178,26,1700
63179,27,1700
63180,28,1700
63181,29,1700
63182,30,1700
63183,31,1700
63184,32,1700
63185,33,1700
63186,34,1700
63187,35,1700
63188,36,1700
63189,37,1700
63190,38,1700
63191,39,1700
63192,40,1700
63193,24,1800
63194,25,1800
63195,26,1800
63196,27,1800
63197,28,1800
63198,29,1800
63199,30,1800
63200,31,1800
63201,32,1800
63202,33,1800
63203,34,1800
63204,35,1800
63205,36,1800
63206,37,1800
63207,38,1800
63208,39,1800
63209,40,1800
63210,24,1900
63211,25,1900
63212,26,1900
63213,27,1900
63214,28,1900
63215,29,1900
63216,30,1900
63217,31,1900
63218,32,1900
63219,33,1900
63220,34,1900
63221,35,1900
63222,36,1900
63223,37,1900
63224,38,1900
63225,39,1900
63226,40,1900
63228,24,2000
63229,25,2000
63230,26,2000
63231,27,2000
63232,28,2000
63233,29,2000
63234,30,2000
63235,31,2000
63236,32,2000
63237,33,2000
63238,34,2000
63239,35,2000
63240,36,2000
63241,37,2000
63242,38,2000
63243,39,2000
63244,40,2000
