sector,ib,channel,bias,gs
2,2,47,69.33,330
2,2,48,69.33,330
2,2,49,69.33,330
2,2,50,69.33,330
2,2,51,69.33,330
2,2,52,69.33,330
2,2,53,69.33,330
2,2,54,69.33,330
2,2,55,69.33,330
2,2,56,69.33,330
2,2,57,69.33,330
2,2,58,69.33,330
2,2,59,69.33,330
2,2,60,69.33,330
2,2,61,69.33,330
2,2,62,69.33,330
2,2,63,69.33,330
2,3,0,69.33,330
2,3,1,69.33,330
2,3,2,69.33,330
2,3,3,69.33,330
2,3,4,69.33,330
2,3,5,69.33,330
2,3,6,69.33,330
2,3,7,69.33,330
2,3,8,69.33,330
2,3,9,69.33,330
2,3,10,69.33,330
2,3,11,69.33,330
2,3,12,69.33,330
2,3,13,69.33,330
2,3,14,69.33,330
2,3,15,69.33,330
2,3,16,69.33,330
2,3,17,69.33,330
2,3,18,69.33,330
2,3,19,69.33,330
2,3,20,69.33,330
2,3,21,69.33,330
2,3,22,69.33,330
2,3,23,69.33,330
2,3,24,69.33,330
2,3,25,69.33,330
2,3,26,69.33,330
2,3,27,69.33,330
2,3,28,69.33,330
2,3,29,69.33,330
2,3,30,69.33,330
2,3,31,69.33,330
2,3,32,69.33,330
2,3,33,69.33,330
2,3,34,69.33,330
2,3,35,69.33,330
2,3,36,69.33,330
2,3,37,69.33,330
2,3,38,69.33,330
2,3,39,69.33,330
2,3,40,69.33,330
2,3,41,69.33,330
2,3,42,69.33,330
2,3,43,69.33,330
2,3,44,69.33,330
2,3,45,69.33,330
2,3,46,69.33,330
2,3,47,69.33,330
2,3,48,69.33,330
2,3,49,69.33,330
2,3,50,69.33,330
2,3,51,69.33,330
2,3,52,69.33,330
2,3,53,69.33,330
2,3,54,69.33,330
2,3,55,69.33,330
2,3,56,69.33,330
2,3,57,69.33,330
2,3,58,69.33,330
2,3,59,69.33,330
2,3,60,69.33,330
2,3,61,69.33,330
2,3,62,69.33,330
2,3,63,69.33,330
2,4,0,69.33,330
2,4,1,69.33,330
2,4,2,69.33,330
2,4,3,69.33,330
2,4,4,69.33,330
2,4,5,69.33,330
2,4,6,69.33,330
2,4,7,69.33,330
2,4,8,69.33,330
2,4,9,69.33,330
2,4,10,69.33,330
2,4,11,69.33,330
2,4,12,69.33,330
2,4,13,69.33,330
2,4,14,69.33,330
2,4,15,69.33,330
2,4,16,69.33,330
2,4,17,69.33,330
2,4,18,69.33,330
2,4,19,69.33,330
2,4,20,69.33,330
2,4,21,69.33,330
2,4,22,69.33,330
2,4,23,69.33,330
2,4,24,69.33,330
2,4,25,69.33,330
2,4,26,69.33,330
2,4,27,69.33,330
2,4,28,69.33,330
2,4,29,69.33,330
2,4,30,69.33,330
2,4,31,69.33,330
2,4,32,69.33,330
2,4,33,69.33,330
2,4,34,69.33,330
2,4,35,69.33,330
2,4,36,69.33,330
2,4,37,69.33,330
2,4,38,69.33,330
2,4,39,69.33,330
2,4,40,69.33,330
2,4,41,69.33,330
2,4,42,69.33,330
2,4,43,69.33,330
2,4,44,69.33,330
2,4,45,69.33,330
2,4,46,69.33,330
2,4,47,69.33,330
2,4,48,69.33,330
2,4,49,69.33,330
2,4,50,69.33,330
2,4,51,69.33,330
2,4,52,69.33,330
2,4,53,69.33,330
2,4,54,69.33,330
2,4,55,69.33,330
2,4,56,69.33,330
2,4,57,69.33,330
2,4,58,69.33,330
2,4,59,69.33,330
2,4,60,69.33,330
2,4,61,69.33,330
2,4,62,69.33,330
2,4,63,69.33,330
2,5,0,69.33,330
2,5,1,69.33,330
2,5,2,69.33,330
2,5,3,69.33,330
2,5,4,69.33,330
2,5,5,69.33,330
2,5,6,69.33,330
2,5,7,69.33,330
2,5,8,69.33,330
2,5,9,69.33,330
2,5,10,69.33,330
2,5,11,69.33,330
2,5,12,69.33,330
2,5,13,69.33,330
2,5,14,69.33,330
2,5,15,69.33,330
2,5,16,69.33,330
2,5,17,69.33,330
2,5,18,69.33,330
2,5,19,69.33,330
2,5,20,69.33,330
2,5,21,69.33,330
2,5,22,69.33,330
2,5,23,69.33,330
2,5,24,69.33,330
2,5,25,69.33,330
2,5,26,69.33,330
2,5,27,69.33,330
2,5,28,69.33,330
2,5,29,69.33,330
2,5,30,69.33,330
2,5,31,69.33,330
2,5,32,69.33,330
2,5,33,69.33,330
2,5,34,69.33,330
2,5,35,69.33,330
2,5,36,69.33,330
2,5,37,69.33,330
2,5,38,69.33,330
2,5,39,69.33,330
2,5,40,69.33,330
2,5,41,69.33,330
2,5,42,69.33,330
2,5,43,69.33,330
2,5,44,69.33,330
2,5,45,69.33,330
2,5,46,69.33,330
2,5,47,69.33,330
2,5,48,69.33,330
2,5,49,69.33,330
2,5,50,69.33,330
2,5,51,69.33,330
2,5,52,69.33,330
2,5,53,69.33,330
2,5,54,69.33,330
2,5,55,69.33,330
2,5,56,69.33,330
2,5,57,69.33,330
2,5,58,69.33,330
2,5,59,69.33,330
2,5,60,69.33,330
2,5,61,69.33,330
2,5,62,69.33,330
2,5,63,69.33,330
3,0,0,69.33,330
3,0,1,69.33,330
3,0,2,69.33,330
3,0,3,69.33,330
3,0,4,69.33,330
3,0,5,69.33,330
3,0,6,69.33,330
3,0,7,69.33,330
3,0,8,69.33,330
3,0,9,69.33,330
3,0,10,69.33,330
3,0,11,69.33,330
3,0,12,69.33,330
3,0,13,69.33,330
3,0,14,69.33,330
3,0,15,69.33,330
3,0,16,69.33,330
3,0,17,69.33,330
3,0,18,69.33,330
3,0,19,69.33,330
3,0,20,69.33,330
3,0,21,69.33,330
3,0,22,69.33,330
3,0,23,69.33,330
3,0,24,69.33,330
3,0,25,69.33,330
3,0,26,69.33,330
3,0,27,69.33,330
3,0,28,69.33,330
3,0,29,69.33,330
3,0,30,69.33,330
3,0,31,69.33,330
3,0,32,69.33,330
3,0,33,69.33,330
3,0,34,69.33,330
3,0,35,69.33,330
3,0,36,69.33,330
3,0,37,69.33,330
3,0,38,69.33,330
3,0,39,69.33,330
3,0,40,69.33,330
3,0,41,69.33,330
3,0,42,69.33,330
3,0,43,69.33,330
3,0,44,69.33,330
3,0,45,69.33,330
3,0,46,69.33,330
3,0,47,69.33,330
3,0,48,69.33,330
3,0,49,69.33,330
3,0,50,69.33,330
3,0,51,69.33,330
3,0,52,69.33,330
3,0,53,69.33,330
3,0,54,69.33,330
3,0,55,69.33,330
3,0,56,69.33,330
3,0,57,69.33,330
3,0,58,69.33,330
3,0,59,69.33,330
3,0,60,69.33,330
3,0,61,69.33,330
3,0,62,69.33,330
3,0,63,69.33,330
3,1,0,69.33,330
3,1,1,69.33,330
3,1,2,69.33,330
3,1,3,69.33,330
3,1,4,69.33,330
3,1,5,69.33,330
3,1,6,69.33,330
3,1,7,69.33,330
3,1,8,69.33,330
3,1,9,69.33,330
3,1,10,69.33,330
3,1,11,69.33,330
3,1,12,69.33,330
3,1,13,69.33,330
3,1,14,69.33,330
3,1,15,69.33,330
3,1,16,69.33,330
3,1,17,69.33,330
3,1,18,69.33,330
3,1,19,69.33,330
3,1,20,69.33,330
3,1,21,69.33,330
3,1,22,69.33,330
3,1,23,69.33,330
3,1,24,69.33,330
3,1,25,69.33,330
3,1,26,69.33,330
3,1,27,69.33,330
3,1,28,69.33,330
3,1,29,69.33,330
3,1,30,69.33,330
3,1,31,69.33,330
3,1,32,69.33,330
3,1,33,69.33,330
3,1,34,69.33,330
3,1,35,69.33,330
3,1,36,69.33,330
3,1,37,69.33,330
3,1,38,69.33,330
3,1,39,69.33,330
3,1,40,69.33,330
3,1,41,69.33,330
3,1,42,69.33,330
3,1,43,69.33,330
3,1,44,69.33,330
3,1,45,69.33,330
3,1,46,69.33,330
3,1,47,69.33,330
3,1,48,69.33,330
3,1,49,69.33,330
3,1,50,69.33,330
3,1,51,69.33,330
3,1,52,69.33,330
3,1,53,69.33,330
3,1,54,69.33,330
3,1,55,69.33,330
3,1,56,69.33,330
3,1,57,69.33,330
3,1,58,69.33,330
3,1,59,69.33,330
3,1,60,69.33,330
3,1,61,69.33,330
3,1,62,69.33,330
3,1,63,69.33,330
3,2,0,69.33,330
3,2,1,69.33,330
3,2,2,69.33,330
3,2,3,69.33,330
3,2,4,69.33,330
3,2,5,69.33,330
3,2,6,69.33,330
3,2,7,69.33,330
3,2,8,69.33,330
3,2,9,69.33,330
3,2,10,69.33,330
3,2,11,69.33,330
3,2,12,69.33,330
3,2,13,69.33,330
3,2,14,69.33,330
3,2,15,69.33,330
3,2,16,69.33,330
3,2,17,69.33,330
3,2,18,69.33,330
3,2,19,69.33,330
3,2,20,69.33,330
3,2,21,69.33,330
3,2,22,69.33,330
3,2,23,69.33,330
3,2,24,69.33,330
3,2,25,69.33,330
3,2,26,69.33,330
3,2,27,69.33,330
3,2,28,69.33,330
3,2,29,69.33,330
3,2,30,69.33,330
3,2,31,69.33,330
3,2,32,69.33,330
3,2,33,69.33,330
3,2,34,69.33,330
3,2,35,69.33,330
3,2,36,69.33,330
3,2,37,69.33,330
3,2,38,69.33,330
3,2,39,69.33,330
3,2,40,69.33,330
3,2,41,69.33,330
3,2,42,69.33,330
3,2,43,69.33,330
3,2,44,69.33,330
3,2,45,69.33,330
3,2,46,69.33,330
3,2,47,69.33,330
3,2,48,69.33,330
3,2,49,69.33,330
3,2,50,69.33,330
3,2,51,69.33,330
3,2,52,69.33,330
3,2,53,69.33,330
3,2,54,69.33,330
3,2,55,69.33,330
3,2,56,69.33,330
3,2,57,69.33,330
3,2,58,69.33,330
3,2,59,69.33,330
3,2,60,69.33,330
3,2,61,69.33,330
3,2,62,69.33,330
3,2,63,69.33,330
3,3,0,69.33,330
3,3,1,69.33,330
3,3,2,69.33,330
3,3,3,69.33,330
3,3,4,69.33,330
3,3,5,69.33,330
3,3,6,69.33,330
3,3,7,69.33,330
3,3,8,69.33,330
3,3,9,69.33,330
3,3,10,69.33,330
3,3,11,69.33,330
3,3,12,69.33,330
3,3,13,69.33,330
3,3,14,69.33,330
3,3,15,69.33,330
3,3,16,69.33,330
3,3,17,69.33,330
3,3,18,69.33,330
3,3,19,69.33,330
3,3,20,69.33,330
3,3,21,69.33,330
3,3,22,69.33,330
3,3,23,69.33,330
3,3,24,69.33,330
3,3,25,69.33,330
3,3,26,69.33,330
3,3,27,69.33,330
3,3,28,69.33,330
3,3,29,69.33,330
3,3,30,69.33,330
3,3,31,69.33,330
3,3,32,69.33,330
3,3,33,69.33,330
3,3,34,69.33,330
3,3,35,69.33,330
3,3,36,69.33,330
3,3,37,69.33,330
3,3,38,69.33,330
3,3,39,69.33,330
3,3,40,69.13,130
3,3,41,69.13,130
3,3,42,69.13,130
3,3,43,69.13,130
3,3,44,69.33,330
3,3,45,69.33,330
3,3,46,69.33,330
3,3,47,69.33,330
3,3,48,69.33,330
3,3,49,69.33,330
3,3,50,69.33,330
3,3,51,69.33,330
3,3,52,69.33,330
3,3,53,69.33,330
3,3,54,69.33,330
3,3,55,69.33,330
3,3,56,69.33,330
3,3,57,69.33,330
3,3,58,69.33,330
3,3,59,69.33,330
3,3,60,69.33,330
3,3,61,69.33,330
3,3,62,69.33,330
3,3,63,69.33,330
3,4,0,69.33,330
3,4,1,69.33,330
3,4,2,69.33,330
3,4,3,69.33,330
